page,image_index,title,source_object,source_dimensions,output_dimensions,resize_action,filename
35,1,Showers and Wellness,X463.jpg,2752x1536,3840x2143,upscaled,Page 35 - Showers and Wellness.jpg
36,1,Trophy Corridor - Heritage,X469.jpg,2752x1536,3840x2143,upscaled,Page 36 - Trophy Corridor - Heritage.jpg
38,1,Members Lounge - Upper Floor,X491.jpg,2752x1536,3840x2143,upscaled,Page 38 - Members Lounge - Upper Floor.jpg
39,1,Coffee Bar - Lounge Detail,X515.jpg,2752x1536,3840x2143,upscaled,Page 39 - Coffee Bar - Lounge Detail.jpg
40,1,Rear Terrace - Al Fresco Dining,X521.jpg,2752x1536,3840x2143,upscaled,Page 40 - Rear Terrace - Al Fresco Dining.jpg
42,1,Practice Bays - T-Point,X543.jpg,2752x1536,3840x2143,upscaled,Page 42 - Practice Bays - T-Point.jpg
43,1,Lower Floor Program,X567.png,3784x2453,3840x2489,upscaled,Page 43 - Lower Floor Program.png
44,1,The Practice Bay,X582.jpg,2752x1536,3840x2143,upscaled,Page 44 - The Practice Bay.jpg
46,1,VIP Entrance - Private Drum,X592.jpg,2752x1536,3840x2143,upscaled,Page 46 - VIP Entrance - Private Drum.jpg
47,1,VIP Lounge - Overlooking the Pitch,X610.jpg,2752x1536,3840x2143,upscaled,Page 47 - VIP Lounge - Overlooking the Pitch.jpg
48,1,VIP Dining - From the Kitchen,X634.jpg,2752x1536,3840x2143,upscaled,Page 48 - VIP Dining - From the Kitchen.jpg
48,2,VIP Bar - Cocktails and Fine Pours,X635.jpg,2752x1536,3840x2143,upscaled,Page 48 - VIP Bar - Cocktails and Fine Pours.jpg
49,1,VIP Suites,X647.jpg,2752x1536,3840x2143,upscaled,Page 49 - VIP Suites.jpg
51,1,Rooftop Bar and Restaurant,X657.jpg,2752x1536,3840x2143,upscaled,Page 51 - Rooftop Bar and Restaurant.jpg
52,1,Rooftop - Lounge Terrace,X681.jpg,2752x1536,3840x2143,upscaled,Page 52 - Rooftop - Lounge Terrace.jpg
52,2,Rooftop - Sunset Dining,X682.jpg,2752x1536,3840x2143,upscaled,Page 52 - Rooftop - Sunset Dining.jpg
53,1,Pool and Sky Gardens,X688.jpg,2752x1536,3840x2143,upscaled,Page 53 - Pool and Sky Gardens.jpg
56,1,Material Palette,X722.png,1672x361,3840x829,upscaled,Page 56 - Material Palette.png
57,1,Detail - Bronze Fins,X735.png,1360x1156,3840x3264,upscaled,Page 57 - Detail - Bronze Fins.png
57,2,Detail - Topographic Textiles,X736.png,1254x861,3840x2637,upscaled,Page 57 - Detail - Topographic Textiles.png
57,3,Detail - Sculpted Stone,X737.jpg,736x1104,2560x3840,upscaled,Page 57 - Detail - Sculpted Stone.jpg
58,1,Landscape and Climate,X14.jpg,5504x3072,3840x2143,downscaled,Page 58 - Landscape and Climate.jpg
59,1,A Day at the Club - Morning,X760.jpg,2752x1536,3840x2143,upscaled,Page 59 - A Day at the Club - Morning.jpg
59,2,A Day at the Club - Afternoon,X761.jpg,2752x1536,3840x2143,upscaled,Page 59 - A Day at the Club - Afternoon.jpg
59,3,A Day at the Club - Evening,X762.jpg,2752x1536,3840x2143,upscaled,Page 59 - A Day at the Club - Evening.jpg
60,1,The Vision Realised,X767.jpg,2752x1536,3840x2143,upscaled,Page 60 - The Vision Realised.jpg
61,1,VM Studio Logo,X784.png,1792x312,3840x669,upscaled,Page 61 - VM Studio Logo.png
